Series Name;Series Code;Country Name;Country Code;2016 [YR2016]
GDP per capita (current US$);NY.GDP.PCAP.CD;Afghanistan;AFG;523.053012101752
GDP per capita (current US$);NY.GDP.PCAP.CD;Albania;ALB;4124.05538986272
GDP per capita (current US$);NY.GDP.PCAP.CD;Algeria;DZA;3967.20064743809
GDP per capita (current US$);NY.GDP.PCAP.CD;American Samoa;ASM;13300.8246114811
GDP per capita (current US$);NY.GDP.PCAP.CD;Andorra;AND;39931.2362644858
GDP per capita (current US$);NY.GDP.PCAP.CD;Angola;AGO;1809.70937719455
GDP per capita (current US$);NY.GDP.PCAP.CD;Antigua and Barbuda;ATG;16449.0591470407
GDP per capita (current US$);NY.GDP.PCAP.CD;Argentina;ARG;12790.2641396135
GDP per capita (current US$);NY.GDP.PCAP.CD;Armenia;ARM;3679.95234740376
GDP per capita (current US$);NY.GDP.PCAP.CD;Aruba;ABW;28449.7129463044
GDP per capita (current US$);NY.GDP.PCAP.CD;Australia;AUS;49918.7939327254
GDP per capita (current US$);NY.GDP.PCAP.CD;Austria;AUT;45307.5878620429
GDP per capita (current US$);NY.GDP.PCAP.CD;Azerbaijan;AZE;3880.6852276838
GDP per capita (current US$);NY.GDP.PCAP.CD;Bahamas;BHS;29675.5358910641
GDP per capita (current US$);NY.GDP.PCAP.CD;Bahrain;BHR;22867.1811196134
GDP per capita (current US$);NY.GDP.PCAP.CD;Bangladesh;BGD;1659.96249605674
GDP per capita (current US$);NY.GDP.PCAP.CD;Barbados;BRB;17381.3650865426
GDP per capita (current US$);NY.GDP.PCAP.CD;Belarus;BLR;5039.77560949445
GDP per capita (current US$);NY.GDP.PCAP.CD;Belgium;BEL;42012.6227191016
GDP per capita (current US$);NY.GDP.PCAP.CD;Belize;BLZ;6099.95710191497
GDP per capita (current US$);NY.GDP.PCAP.CD;Benin;BEN;1049.82030349923
GDP per capita (current US$);NY.GDP.PCAP.CD;Bermuda;BMU;106885.878489327
GDP per capita (current US$);NY.GDP.PCAP.CD;Bhutan;BTN;2879.54656392589
GDP per capita (current US$);NY.GDP.PCAP.CD;Bolivia;BOL;3013.50270721666
GDP per capita (current US$);NY.GDP.PCAP.CD;Bosnia and Herzegovina;BIH;4917.26376596306
GDP per capita (current US$);NY.GDP.PCAP.CD;Botswana;BWA;6411.55166556511
GDP per capita (current US$);NY.GDP.PCAP.CD;Brazil;BRA;8680.73646873878
GDP per capita (current US$);NY.GDP.PCAP.CD;British Virgin Islands;VGB;0
GDP per capita (current US$);NY.GDP.PCAP.CD;Brunei Darussalam;BRN;26762.0350436621
GDP per capita (current US$);NY.GDP.PCAP.CD;Bulgaria;BGR;7570.93165511708
GDP per capita (current US$);NY.GDP.PCAP.CD;Burkina Faso;BFA;665.786328598963
GDP per capita (current US$);NY.GDP.PCAP.CD;Burundi;BDI;242.539527292978
GDP per capita (current US$);NY.GDP.PCAP.CD;Cabo Verde;CPV;3312.69674458487
GDP per capita (current US$);NY.GDP.PCAP.CD;Cambodia;KHM;1281.10597105412
GDP per capita (current US$);NY.GDP.PCAP.CD;Cameroon;CMR;1426.06548113211
GDP per capita (current US$);NY.GDP.PCAP.CD;Canada;CAN;42315.6037056806
GDP per capita (current US$);NY.GDP.PCAP.CD;Cayman Islands;CYM;78858.2802552237
GDP per capita (current US$);NY.GDP.PCAP.CD;Central African Republic;CAF;372.135456093031
GDP per capita (current US$);NY.GDP.PCAP.CD;Chad;TCD;691.980077427731
GDP per capita (current US$);NY.GDP.PCAP.CD;Channel Islands;CHI;58093.9960625367
GDP per capita (current US$);NY.GDP.PCAP.CD;Chile;CHL;13788.2400157601
GDP per capita (current US$);NY.GDP.PCAP.CD;China;CHN;8094.39016730811
GDP per capita (current US$);NY.GDP.PCAP.CD;Colombia;COL;5936.2610216683
GDP per capita (current US$);NY.GDP.PCAP.CD;Comoros;COM;1357.26622888827
GDP per capita (current US$);NY.GDP.PCAP.CD;Congo;COD;456.027950583624
GDP per capita (current US$);NY.GDP.PCAP.CD;Congo;COG;2107.5030239722
GDP per capita (current US$);NY.GDP.PCAP.CD;Costa Rica;CRI;11899.8139833748
GDP per capita (current US$);NY.GDP.PCAP.CD;Cote d'Ivoire;CIV;1999.19537159383
GDP per capita (current US$);NY.GDP.PCAP.CD;Croatia;HRV;12579.9227031481
GDP per capita (current US$);NY.GDP.PCAP.CD;Cuba;CUB;8055.92586780018
GDP per capita (current US$);NY.GDP.PCAP.CD;Curacao;CUW;18944.0962772875
GDP per capita (current US$);NY.GDP.PCAP.CD;Cyprus;CYP;24605.349609375
GDP per capita (current US$);NY.GDP.PCAP.CD;Czechia;CZE;18575.2320271915
GDP per capita (current US$);NY.GDP.PCAP.CD;Denmark;DNK;54663.9983719195
GDP per capita (current US$);NY.GDP.PCAP.CD;Djibouti;DJI;2545.73879850905
GDP per capita (current US$);NY.GDP.PCAP.CD;Dominica;DMA;8223.04145029796
GDP per capita (current US$);NY.GDP.PCAP.CD;Dominican Republic;DOM;7191.06970308651
GDP per capita (current US$);NY.GDP.PCAP.CD;Ecuador;ECU;6079.08873612077
GDP per capita (current US$);NY.GDP.PCAP.CD;Egypt;EGY;3331.61246134688
GDP per capita (current US$);NY.GDP.PCAP.CD;El Salvador;SLV;3870.31298246063
GDP per capita (current US$);NY.GDP.PCAP.CD;Equatorial Guinea;GNQ;8035.30766558427
GDP per capita (current US$);NY.GDP.PCAP.CD;Eritrea;ERI;0
GDP per capita (current US$);NY.GDP.PCAP.CD;Estonia;EST;18295.3429322114
GDP per capita (current US$);NY.GDP.PCAP.CD;Ethiopia;ETH;705.617508543589
GDP per capita (current US$);NY.GDP.PCAP.CD;Faroe Islands;FRO;56833.9165410522
GDP per capita (current US$);NY.GDP.PCAP.CD;Fiji;FJI;5368.43349186431
GDP per capita (current US$);NY.GDP.PCAP.CD;Finland;FIN;43814.0265056965
GDP per capita (current US$);NY.GDP.PCAP.CD;France;FRA;37062.5335723829
GDP per capita (current US$);NY.GDP.PCAP.CD;French Polynesia;PYF;18726.6394704764
GDP per capita (current US$);NY.GDP.PCAP.CD;Gabon;GAB;6722.19822269059
GDP per capita (current US$);NY.GDP.PCAP.CD;Gambia;GMB;640.676265282984
GDP per capita (current US$);NY.GDP.PCAP.CD;Georgia;GEO;4062.12697838612
GDP per capita (current US$);NY.GDP.PCAP.CD;Germany;DEU;42136.1207907991
GDP per capita (current US$);NY.GDP.PCAP.CD;Ghana;GHA;1900.39767444476
GDP per capita (current US$);NY.GDP.PCAP.CD;Gibraltar;GIB;0
GDP per capita (current US$);NY.GDP.PCAP.CD;Greece;GRC;17923.9668134716
GDP per capita (current US$);NY.GDP.PCAP.CD;Greenland;GRL;48181.7453541266
GDP per capita (current US$);NY.GDP.PCAP.CD;Grenada;GRD;8849.51353500776
GDP per capita (current US$);NY.GDP.PCAP.CD;Guam;GUM;35052.8079075238
GDP per capita (current US$);NY.GDP.PCAP.CD;Guatemala;GTM;4173.28134863663
GDP per capita (current US$);NY.GDP.PCAP.CD;Guinea;GIN;720.473255172646
GDP per capita (current US$);NY.GDP.PCAP.CD;Guinea-Bissau;GNB;642.666390086932
GDP per capita (current US$);NY.GDP.PCAP.CD;Guyana;GUY;5905.38019563205
GDP per capita (current US$);NY.GDP.PCAP.CD;Haiti;HTI;1313.18609516709
GDP per capita (current US$);NY.GDP.PCAP.CD;Honduras;HND;2295.53627000423
GDP per capita (current US$);NY.GDP.PCAP.CD;Hong Kong SAR;HKG;43734.1980702999
GDP per capita (current US$);NY.GDP.PCAP.CD;Hungary;HUN;13104.6995457458
GDP per capita (current US$);NY.GDP.PCAP.CD;Iceland;ISL;61987.9263620283
GDP per capita (current US$);NY.GDP.PCAP.CD;India;IND;1714.27953740039
GDP per capita (current US$);NY.GDP.PCAP.CD;Indonesia;IDN;3558.81885175737
GDP per capita (current US$);NY.GDP.PCAP.CD;Iran; Islamic Republic IRN;5497.24323254699
GDP per capita (current US$);NY.GDP.PCAP.CD;Iraq;IRQ;4305.20270154631
GDP per capita (current US$);NY.GDP.PCAP.CD;Ireland;IRL;62784.0656875694
GDP per capita (current US$);NY.GDP.PCAP.CD;Isle of Man;IMN;82041.6210496551
GDP per capita (current US$);NY.GDP.PCAP.CD;Israel;ISR;37690.4739511859
GDP per capita (current US$);NY.GDP.PCAP.CD;Italy;ITA;30960.7315088902
GDP per capita (current US$);NY.GDP.PCAP.CD;Jamaica;JAM;5022.70019182535
GDP per capita (current US$);NY.GDP.PCAP.CD;Japan;JPN;39375.4731620781
GDP per capita (current US$);NY.GDP.PCAP.CD;Jordan;JOR;4003.40474641177
GDP per capita (current US$);NY.GDP.PCAP.CD;Kazakhstan;KAZ;7714.84184376024
GDP per capita (current US$);NY.GDP.PCAP.CD;Kenya;KEN;1562.07661862777
GDP per capita (current US$);NY.GDP.PCAP.CD;Kiribati;KIR;1506.23100308107
GDP per capita (current US$);NY.GDP.PCAP.CD;Korea; Dem Peoples Republic PRK;0
GDP per capita (current US$);NY.GDP.PCAP.CD;Korea; Republic KOR;29280.4403170048
GDP per capita (current US$);NY.GDP.PCAP.CD;Kosovo;XKX;3759.47285515454
GDP per capita (current US$);NY.GDP.PCAP.CD;Kuwait;KWT;27026.6876602182
GDP per capita (current US$);NY.GDP.PCAP.CD;Kyrgyz Republic;KGZ;1120.66705800127
GDP per capita (current US$);NY.GDP.PCAP.CD;Lao PDR;LAO;2309.0490761946
GDP per capita (current US$);NY.GDP.PCAP.CD;Latvia;LVA;14331.7515885049
